src/api/groups.js: line 15, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 24, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 47, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 60, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 76, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 107, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 121, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 183, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 247, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 258, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 269, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 276, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 292, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 308, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 315, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 326, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 342, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 362, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/groups.js: line 386, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').

src/api/helpers.js: line 15, col 57, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/helpers.js: line 51, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 67, col 32, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 76, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 91, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/helpers.js: line 131, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/posts.js: line 23, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 46, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 56, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 68, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 86, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 139, col 29, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 139, col 44, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 140, col 29, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 140, col 50, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/posts.js: line 159, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 167, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 175, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 196, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 211, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 254, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 265, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 299, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 303, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 307, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 311, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 348, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 381, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 408, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 412, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 416, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 428, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 461, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 466, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 477, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 491, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/search.js: line 17, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 53, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/search.js: line 60, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 87, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 89, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 92, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 110, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 157, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/tags.js: line 7, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/tags.js: line 11, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/topics.js: line 20, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 36, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 53, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 58, col 26, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/topics.js: line 86, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 90, col 26, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/topics.js: line 120, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 126, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 132, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 138, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 142, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 146, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 152, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 158, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 164, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
